Model,Accuracy,Precision,Recall/Sensitivity,Specificity,F1-Score,ROC-AUC
base_cnn,0.32558139534883723,0.08139534883720931,0.25,0.75,0.12280701754385964,0.6032005632280792
mobilenetv2,0.9844961240310077,0.9886363636363636,0.9893617021276596,0.9942528735632183,0.9887512639029322,0.9998631636562672
efficientnetb0,0.9922480620155039,0.9941860465116279,0.9946808510638298,0.9971264367816092,0.994370651486401,0.9999315818281336
resnet50v2,0.9844961240310077,0.9886363636363636,0.9893617021276596,0.9942528735632183,0.9887512639029322,1.0
